X,Y,E
3.97228,29.6961,0.58735
4.09326,32.6871,0.615543
4.21425,33.9282,0.628387
4.33523,36.8181,0.655717
4.45621,37.8353,0.663912
4.5772,41.6916,0.697801
4.69818,41.6419,0.697044
4.81916,42.9312,0.70782
4.94015,43.9744,0.717978
5.06113,44.667,0.723788
5.18211,44.2979,0.720934
5.3031,46.704,0.741788
5.42408,46.2152,0.738671
5.54506,47.7883,0.750615
5.66605,47.0122,0.745677
5.78703,46.087,0.739146
5.90801,44.3475,0.724523
6.02899,45.2536,0.733973
6.14998,46.621,0.745239
6.27096,48.0941,0.758938
6.39194,49.9451,0.774164
6.51293,49.5768,0.771443
6.63391,47.4457,0.754521
6.75489,44.7831,0.733769
6.87588,41.2863,0.703544
6.99686,34.5443,0.643474
7.11784,29.1901,0.591136
7.23883,23.4002,0.528915
7.35981,20.2365,0.492362
7.48079,16.4409,0.443933
7.60178,14.031,0.410195
7.72276,13.0763,0.396615
7.84374,11.7711,0.376428
7.96473,11.5358,0.372846
8.08571,11.1114,0.366852
8.20669,9.98695,0.347964
8.32767,10.0585,0.349744
8.44866,9.33559,0.336814
8.56964,8.69682,0.325809
8.69062,8.08718,0.314094
8.81161,7.37772,0.299996
8.93259,7.40177,0.301416
9.05357,7.11836,0.296158
9.17456,6.74803,0.288502
9.29554,6.57228,0.284861
9.41652,6.22583,0.277651
9.53751,5.82219,0.268756
9.65849,5.76903,0.267457
9.77947,5.25335,0.2558
9.90046,4.45799,0.235781
10.0214,4.59569,0.239686
10.1424,4.20543,0.22952
10.2634,3.94312,0.222471
10.3844,3.88746,0.221093
10.5054,3.68731,0.215256
10.6264,3.2823,0.203373
10.7473,3.405,0.207101
10.8683,3.12587,0.198915
10.9893,3.24698,0.20282
11.1103,3.41457,0.207902
11.2313,3.09942,0.198672
11.3523,3.07059,0.197636
11.4732,3.20157,0.202151
11.5942,2.89121,0.192466
11.7152,2.84639,0.191084
11.8362,3.03652,0.197263
11.9572,2.57711,0.181833
12.0782,2.78569,0.189158
12.1991,3.0938,0.199598
12.3201,2.64881,0.184642
12.4411,2.86343,0.192454
12.5621,2.80777,0.190415
12.6831,2.8383,0.191774
12.8041,2.71199,0.187719
12.925,2.63112,0.185022
13.046,2.87169,0.193109
13.167,2.73188,0.188868
13.288,2.63113,0.185138
13.409,2.29272,0.173204
13.53,2.25995,0.172165
13.6509,2.0246,0.162717
13.7719,2.22441,0.170524
13.8929,2.31689,0.174518
14.0139,2.13635,0.167553
14.1349,2.13944,0.168022
14.2559,1.98237,0.161596
14.3768,2.04591,0.164385
14.4978,2.20202,0.170426
14.6188,2.17422,0.169502
14.7398,2.01366,0.163568
14.8608,2.02049,0.163628
14.9817,1.61889,0.146692
15.1027,1.83291,0.156009
15.2237,2.12416,0.168281
15.3447,1.76466,0.15317
15.4657,1.90567,0.159174
15.5867,1.8575,0.157541
15.7076,1.85661,0.157672
15.8286,1.86767,0.157952
15.9496,1.87101,0.158558
16.0706,1.81916,0.156979
16.1916,1.88986,0.159513
16.3126,1.83823,0.157728
16.4335,1.6063,0.147255
16.5545,1.6143,0.147751
16.6755,1.51523,0.143022
16.7965,1.70556,0.151944
16.9175,1.94304,0.162582
17.0385,1.55079,0.145145
17.1594,1.75646,0.15484
17.2804,1.6604,0.150414
17.4014,1.65431,0.150373
17.5224,1.60573,0.147985
17.6434,1.64502,0.149677
17.7644,1.60511,0.148121
17.8853,1.52341,0.144479
18.0063,1.60143,0.148414
18.1273,1.82585,0.15871
18.2483,1.75273,0.156
18.3693,1.61366,0.149346
18.4903,1.70485,0.153823
18.6112,1.86929,0.16086
18.7322,1.86926,0.160586
18.8532,1.94838,0.164782
18.9742,2.06524,0.169664
19.0952,2.0209,0.167825
19.2162,2.02496,0.168242
19.3371,1.90581,0.162977
19.4581,2.24017,0.177168
19.5791,2.11049,0.171839
19.7001,1.95068,0.165385
19.8211,2.23842,0.17689
19.9421,2.23571,0.176981
20.063,2.5796,0.190061
20.184,2.14726,0.173552
20.305,2.18677,0.17564
20.426,1.94873,0.165953
20.547,2.27866,0.179375
20.668,2.34061,0.181946
20.7889,2.34403,0.182269
20.9099,2.54372,0.190291
21.0309,2.48709,0.188146
21.1519,2.43433,0.186163
