X,Y,E
4.69818,62.6401,1.45325
4.81916,62.2562,1.4511
4.94015,64.71,1.47635
5.06113,64.4472,1.47733
5.18211,67.9621,1.51887
5.3031,63.0102,1.46106
5.42408,64.7193,1.48128
5.54506,65.4705,1.49249
5.66605,63.055,1.46706
5.78703,61.1515,1.44369
5.90801,60.5903,1.43838
6.02899,60.164,1.43582
6.14998,63.0251,1.474
6.27096,62.652,1.46669
6.39194,63.5037,1.48004
6.51293,62.3678,1.46614
6.63391,61.5181,1.45636
6.75489,59.4231,1.43521
6.87588,54.0875,1.36461
6.99686,47.4529,1.28164
7.11784,43.1776,1.22331
7.23883,38.5824,1.156
7.35981,34.4982,1.09401
7.48079,30.1946,1.0257
7.60178,28.28,0.993825
7.72276,26.1057,0.95383
7.84374,25.4943,0.944206
7.96473,24.1033,0.918886
8.08571,22.5738,0.891565
8.20669,22.3989,0.887741
8.32767,22.583,0.891181
8.44866,21.1822,0.865026
8.56964,19.9458,0.839757
8.69062,20.998,0.863033
8.81161,19.944,0.841964
8.93259,18.3442,0.808297
9.05357,19.5096,0.833947
9.17456,19.0038,0.823212
9.29554,18.288,0.809749
9.41652,17.4686,0.791657
9.53751,17.5267,0.793801
9.65849,16.6855,0.774351
9.77947,16.8802,0.780337
9.90046,16.8165,0.779531
10.0214,16.9602,0.783317
10.1424,16.2296,0.765818
10.2634,14.1227,0.715734
10.3844,14.5544,0.727963
10.5054,15.422,0.74719
10.6264,16.2942,0.769783
10.7473,13.2704,0.696535
10.8683,15.2928,0.746568
10.9893,13.3894,0.698178
11.1103,14.3896,0.725478
11.2313,15.1731,0.743964
11.3523,14.0349,0.716624
11.4732,14.7406,0.734279
11.5942,13.4859,0.70545
11.7152,13.5562,0.707159
11.8362,13.4555,0.704199
11.9572,13.2792,0.699986
12.0782,13.0735,0.695185
12.1991,12.8816,0.689845
12.3201,12.9635,0.693204
12.4411,12.7336,0.687654
12.5621,12.6728,0.685989
12.6831,12.0042,0.6676
12.8041,12.5673,0.683018
12.925,12.5445,0.684011
13.046,13.1946,0.702357
13.167,12.2283,0.677299
13.288,13.0015,0.698198
13.409,12.6705,0.68897
13.53,11.7754,0.664365
13.6509,12.7866,0.693335
13.7719,12.8965,0.696914
13.8929,13.106,0.703158
14.0139,12.6035,0.689821
14.1349,11.8743,0.669149
14.2559,11.7118,0.666392
14.3768,11.4609,0.658943
14.4978,12.5261,0.689753
14.6188,12.032,0.676573
14.7398,12.347,0.68545
14.8608,11.8277,0.670573
14.9817,11.3912,0.660441
15.1027,12.1035,0.679642
15.2237,11.2429,0.655858
15.3447,10.5595,0.636059
15.4657,12.3574,0.688476
15.5867,10.5836,0.637502
15.7076,11.816,0.674626
15.8286,9.9818,0.62082
15.9496,11.4118,0.664752
16.0706,10.9993,0.652582
16.1916,10.0427,0.62322
16.3126,9.44482,0.605956
16.4335,11.4472,0.667071
16.5545,10.9894,0.654547
16.6755,11.6587,0.673596
16.7965,10.5985,0.643389
16.9175,10.8016,0.64962
17.0385,11.1017,0.659545
17.1594,11.6467,0.675252
17.2804,11.6303,0.675885
17.4014,11.3551,0.668815
17.5224,10.5261,0.644163
17.6434,11.1196,0.663525
17.7644,11.52,0.67539
17.8853,10.4942,0.644463
18.0063,10.7398,0.65114
18.1273,11.3189,0.669849
18.2483,9.94928,0.627714
18.3693,10.6553,0.652744
18.4903,10.7398,0.653709
18.6112,9.75225,0.623166
18.7322,11.8972,0.689682
18.8532,10.35,0.641448
18.9742,10.7553,0.656017
19.0952,10.8924,0.660864
19.2162,11.3392,0.674848
19.3371,11.3218,0.674014
19.4581,10.6988,0.654716
19.5791,11.2046,0.670848
19.7001,11.0297,0.66553
19.8211,11.6965,0.687253
19.9421,11.3477,0.677392
20.063,10.4245,0.649074
20.184,11.9156,0.694553
20.305,11.2109,0.672843
20.426,11.7935,0.691284
20.547,11.6011,0.686882
20.668,10.7123,0.660699
20.7889,10.9677,0.669013
20.9099,11.6626,0.688568
21.0309,11.4469,0.682994
21.1519,10.2021,0.643616
21.2729,11.5718,0.687081
21.3939,11.5485,0.687855
21.5148,10.6175,0.659472
21.6358,10.5948,0.65887
21.7568,10.5821,0.657888
21.8778,10.084,0.642322
21.9988,11.994,0.701714
22.1198,10.9982,0.672931
22.2407,10.9552,0.670949
22.3617,10.5527,0.660438
22.4827,10.0342,0.643979
22.6037,9.66123,0.631661
22.7247,11.9459,0.703448
22.8457,10.2922,0.652139
22.9666,9.60572,0.631959
23.0876,10.0902,0.6465
23.2086,11.0284,0.676729
23.3296,10.5164,0.662393
23.4506,11.009,0.677718
23.5716,9.70643,0.636077
23.6925,11.011,0.677744
23.8135,11.2076,0.683985
23.9345,11.0688,0.680066
24.0555,11.6654,0.699562
24.1563,10.0605,0.793878
24.2571,10.899,0.349786
24.3784,10.8312,0.34845
24.5003,11.5778,0.358967
24.6228,11.2491,0.351281
24.7459,11.5509,0.355222
24.8696,11.8715,0.36093
24.994,11.8274,0.35708
25.119,11.4395,0.351497
25.2446,11.2391,0.346539
25.3708,11.1545,0.344904
25.4976,11.1054,0.34399
25.6251,11.5056,0.34853
25.7533,10.829,0.337641
25.882,11.4601,0.34556
26.0114,11.3719,0.344485
26.1415,11.124,0.339377
26.2722,10.9629,0.336032
26.4036,11.7378,0.346746
26.5356,11.3394,0.339881
26.6682,11.2136,0.337477
26.8016,11.174,0.335746
26.9356,11.5154,0.339972
27.0703,11.7642,0.342535
27.2056,11.0622,0.331269
27.3417,11.1035,0.331067
27.4784,11.1567,0.332537
27.6158,11.5655,0.336605
27.7538,11.6545,0.337404
27.8926,10.9538,0.326183
28.0321,11.7893,0.3387
28.1722,11.7245,0.336371
28.3131,12.439,0.34598
28.4547,11.3377,0.328706
28.5969,11.4677,0.330099
28.7399,11.7534,0.333694
28.8836,11.6913,0.331928
29.028,12.0009,0.335618
29.1732,11.2728,0.324496
29.319,12.0609,0.335065
29.4656,11.5186,0.326458
29.613,11.6469,0.327617
29.761,11.8917,0.330403
29.9098,11.9651,0.330412
30.0594,12.2439,0.333895
30.2097,11.8155,0.327294
30.3607,12.1961,0.332006
30.5125,12.473,0.334801
30.6651,12.3225,0.331895
30.8184,12.3762,0.332289
30.9725,12.1865,0.328883
31.1274,12.3389,0.329946
31.283,12.2632,0.328561
31.4394,12.2785,0.328078
31.5966,11.7211,0.320058
31.7546,11.5915,0.317843
31.9134,11.7345,0.318785
32.0729,11.404,0.313745
32.2333,11.9931,0.321136
32.3945,11.6011,0.315068
32.5564,11.9154,0.318831
32.7192,11.6362,0.314669
32.8828,11.4386,0.31054
33.0472,11.2728,0.30787
33.2125,11.0624,0.304026
33.3785,10.981,0.302303
33.5454,11.4493,0.308626
33.7132,11.1168,0.302985
33.8817,11.2669,0.304112
34.0511,11.3355,0.304864
34.2214,11.3445,0.304341
34.3925,11.3321,0.303826
34.5645,11.7871,0.309065
34.7373,11.5778,0.30537
34.911,11.5307,0.303814
35.0855,11.4981,0.302982
35.2609,11.1493,0.297748
35.4373,11.7186,0.304655
35.6144,11.5787,0.302048
35.7925,11.5679,0.301572
35.9715,11.9006,0.305124
36.1513,11.9581,0.305353
36.3321,11.5551,0.299352
36.5137,11.9665,0.303658
36.6963,12.0182,0.303687
36.8798,11.5553,0.297352
37.0642,11.511,0.296425
37.2495,11.498,0.295138
37.4358,11.5667,0.295729
37.6229,11.7264,0.296992
37.8111,12.0572,0.300558
38.0001,12.0595,0.300117
38.1901,11.4577,0.291599
38.3811,12.1531,0.299829
38.573,11.6945,0.293651
38.7658,11.251,0.2873
38.9597,11.8722,0.294548
39.1545,11.9981,0.295133
39.3502,11.9085,0.293649
39.547,11.9723,0.293784
39.7447,11.5336,0.287353
39.9434,11.7774,0.290205
40.1432,11.5001,0.286044
40.3439,11.8632,0.289425
40.5456,11.5577,0.285581
40.7483,11.8111,0.287815
40.9521,12.4182,0.294431
41.1568,12.0008,0.289419
41.3626,11.9768,0.288634
41.5694,11.5599,0.282406
41.7773,11.8011,0.284583
41.9862,12.0098,0.287244
42.1961,11.4783,0.279587
42.4071,11.693,0.281857
42.6191,11.5472,0.279595
42.8322,11.6064,0.279423
43.0464,11.7706,0.28103
43.2616,11.3486,0.275132
43.4779,11.5199,0.276914
